student_id,student_name,teacher_id,teacher_name,confidence,source,evidence
v_daniel_garcia,Daniel Garcia,rodrigo-feijao,Rodrigo Feijão,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Carlson Gracie > André Pederneiras > Rodrigo Feijão > Daniel Garcia
4747,Rafael Barros,78,Andre Pederneiras,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlson Gracie > Andre Pederneiras > Rafael Fofitio > Gilbert Burns > Michael Musumeci > Daniel Maira
446,Gilbert Burns,4747,Rafael Barros,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlson Gracie > Andre Pederneiras > Rafael Fofitio > Gilbert Burns > Michael Musumeci > Daniel Maira
5447,Michael Musumeci,446,Gilbert Burns,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlson Gracie > Andre Pederneiras > Rafael Fofitio > Gilbert Burns > Michael Musumeci > Daniel Maira
v_daniel_maira,Daniel Maira,5447,Michael Musumeci,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlson Gracie > Andre Pederneiras > Rafael Fofitio > Gilbert Burns > Michael Musumeci > Daniel Maira
453,Daniel Moraes,515,Royler Gracie,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Royler Gracie > Daniel Moraes
12918,Daniel Sathler,144,Andre Galvao,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Reyson Gracie > Osvaldo Alves > Luis Dagmar > André Galvão > Daniel Sathler
994,Daniel Otero,1886,Fabricio Martins,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Reyson Gracie > Osvaldo Alves > Fabricio Martins > Daniel Otero
1145,Daniel Valverde,524,Osvaldo Alves,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Reyson Gracie > Osvaldo Alves > Daniel Valverde
745,Carlos Machado,44,Helio Gracie,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Carlos Machado > Orland Waugh > Danny Alvarez > Danielle Alvarez
