student_id,student_name,teacher_id,teacher_name,confidence,source,match_quality,evidence,source_url
12122,Micael Galvao,10088,Melqui Galvao,high,bio_extraction,exact,"o holds the rank of black belt in jiu-jitsu under his father, coach Melqui Galvão, as well as a black belt in Luta Livre Esportiva (Brazilian",https://www.bjjheroes.com/?p=12122
122,Michael Langhi,147,Rubens Charles,high,bio_extraction,exact,Brazilian Jiu-Jitsublack belt under the legendary Rubens Charles and widely regarded as one of the top lightweight competitors of his g,https://www.bjjheroes.com/?p=122
8427,Michael Perez,144,Andre Galvao,high,bio_extraction,exact,Brazilian jiu-jitsublack belt under André Galvaoand a representative of the Atos JJ Academyin the sport's international circuit.,https://www.bjjheroes.com/?p=8427
9253,Michael Trasso,6507,Regis Lebre,high,bio_extraction,exact,"Brazilian jiu-jitsublack belt under Regis Lebre, and a member of the Gracie Humaitá San Diego camp, who als",https://www.bjjheroes.com/?p=9253
1747,Michel Langhi,147,Rubens Charles,high,bio_extraction,exact,Brazilian Jiu Jitsublack belt under the legendary Rubens Charles and was once one of the rising stars in the sport/martial art's fea,https://www.bjjheroes.com/?p=1747
1583,Mike Fowler,1307,Lloyd Irvin,high,bio_extraction,exact,"cene, achieving his black belt under coach Lloyd Irvinin 3.5 years – the first athlete to complete the curriculum of",https://www.bjjheroes.com/?p=1583
7917,Milton Bastos,630,Ricardo Miller,high,bio_extraction,exact,"Brazilian jiu jitsublack belt under Ricardo Millerand a former freestyle wrestler, a sport Milton competed in extensively",https://www.bjjheroes.com/?p=7917
1882,Mitsuyoshi Hayakawa,666,Alexandre Paiva,high,bio_extraction,exact,"Brazilian Jiu Jitsublack belt under Master Alexandre Paiva, an achievement accomplished in 2002. Mitsuyoshi Hayakawa i",https://www.bjjheroes.com/?p=1882
11986,Natasha Quiza,224,Roberto Abreu,high,bio_extraction,exact,"uiza is a jiu-jitsu black belt under Roberto Abreu and Igor Almeida, as well as a representative of the Fight Sports te",https://www.bjjheroes.com/?p=11986
9227,Nathalie Ribeiro,875,Lucas Leite,high,bio_extraction,exact,"a Brazilianjiu-jitsublack belt under Lucas Leite, having also worked extensively with coaches João and Aloís",https://www.bjjheroes.com/?p=9227
10216,Natan Chueng,1155,Cicero Costha,high,bio_extraction,exact,"Brazilian jiu-jitsu black belt under Cícero Costha, who worked extensively with Douglas Rufino (Trator), Sandr",https://www.bjjheroes.com/?p=10216
12729,Nathannael Fernandes,10088,Melqui Galvao,high,bio_extraction,exact,"jitsu athlete and a black belt under Melqui Galvão, who is part of a well-known generation of top-tier grapple",https://www.bjjheroes.com/?p=12729
2247,Nelson Monteiro,297,Carlos Gracie Junior,high,bio_extraction,exact,nteiro is ajiu-jitsublack belt under Carlos Gracie Juniorand a coach of the illustrious Gracie Barra academy. A veteran of,https://www.bjjheroes.com/?p=2247
