id,name,first_name,last_name,nickname,team,url,bio,is_historical
9312,Alexandre Cavaliere,Alexandre,Cavaliere,,Alliance,https://www.bjjheroes.com/?p=9312,"Alexandre Cavaliere da Silva is aBrazilian jiu-jitsublack belt underRoberto Correa(Gordo) and Paulo Perrota (Rabicó), who also worked extensively with coachesMurilo Bustamante, José Honório andAlexandre Paiva(Gigi). Regarded as a hot prospect while climbing the ranks of BJJ in the colored belt divisions, Cavaliere’s talent was almost lost as he abandoned the sport in 2013 for financial reasons. His big comeback tournament – a gold medal at the UAEJJF Grand Slam in Rio de Janeiro (2016) immediately placed him as one of the top middleweights in the world, an idea cemented by more high profile wins in the years that followed. Full Name:Alexandre Cavaliere Gomes da Silva",False
449,Alexandre de Souza,Alexandre,de Souza,Pop,Gracie Floripa,https://www.bjjheroes.com/?p=449,"Alexandre de Souza, commonly known as “Pop”, is aBrazilian Jiu-Jitsublack belt under the prestigiousCrolin Gracie, and one of Florianopolis’s most accomplished athletes. Well known for his many endeavors in grappling, de Souza conquered important world-class tournaments such as the Brazilian National Championships and the European Open, while also establishing himself as one of the top instructors in the region, from where he cemented his own team as one of the top grappling academies in the region. Full Name:Alexandre de Souza",False
474,Alexandre Ceconi,Alexandre,Ceconi,,,https://www.bjjheroes.com/?p=474,"Alexandro Ceconi is and one of the most exciting fighters inJiu Jitsu‘sheavyweight division. This Brazilian Jiu Jitsu black belt underRilion Gracie(who has also experience in MMA) struggled for years to achieve success at the highest level, in his early days as a black belt, but was able to shine through adversity in 2009 when he medalled in the Brazilian Nationals and the World Championships, since then he has been a recurring figure in some of the most important tournaments of the BJJ calendar. Full Name:Alexandro Ceconi",False
727,Alexandre de Freitas,Alexandre,de Freitas,Soca,Soca BJJ,https://www.bjjheroes.com/?p=727,"Alexandre Freitas, commonly known as Alexandre “Soca”, was considered by many as the king ofJiu Jitsu’ssuper-featherweightdivision in the late1990’s early2000’s. Alexandre “Soca” conquered numerous BJJ and submission wrestling competitions including the prestigious Abu Dhabi Combat Club tournament (ADCC), arguably the most prestigious grappling trophy in the world. Full Name:Alexandre Carneiro Monteiro de Freitas",False
9793,Alexandre Jesus,Alexandre,Jesus,Robinho,Calasans JJ,https://www.bjjheroes.com/?p=9793,"Alexandre de Jesus, also known as “Robinho”, is a Brazilian jiu-jitsu black belt under Claudio Calasans, being also one of the main representatives of the Calasans BJJ / Atos JJ coalition in grappling’s international circuit. Already regarded as a rising star of the sport after his Brazilian National and European Open podium placing performances during his colored belt career, Alexandre de Jesus would cement that claim by winning the International Brazilian Jiu-Jitsu Federation (IBJJF) South American Championship on his black belt debut (2018). Full Name:Alexandre Joaquim de Jesus",False
14205,Alexandre Manara,Alexandre,Manara,Lele,Lotus Club,https://www.bjjheroes.com/?p=14205,"Alexandre Papa Manara, often referenced by his nickname Lele, is a jiu-jitsu black belt under his father, Alexandre Vomero Manara who represents the Manara Jiu-Jitsu Team from Mogi Guaçu (Sao Paulo, Brazil), who has also been a standard bearer for the Gentle Art Studio (Astoria, New York, US). Alexandre Manara first made waves in the sport at the juvenile & colored belt level, particularly in the International Brazilian Jiu-Jitsu Federation (IBJJF) circuit. Full Name:Alexandre Papa Manara",False
9407,Alexandre Molinaro,Alexandre,Molinaro,,Carlson Gracie,https://www.bjjheroes.com/?p=9407,"Alexandre Molinaro is aBrazilian jiu-jitsublack belt under André Vasconcelos (Alemão), who worked extensively with coachesVini AietaandCarlson Gracie Junior, being also one of the main representatives of theCarlson Gracie Academyin the 2010’s decade. Molinaro gained notoriety in the sporting facet of BJJ while competing on the International Brazilian Jiu-Jitsu Federation (IBJJF) circuit, where he conquered numerous tournaments. Full Name:Alexandre Faria Molinaro",False
666,Alexandre Paiva,Alexandre,Paiva,Gigi,Alliance,https://www.bjjheroes.com/?p=666,"Alexandre “Gigi” Paiva is a figure of extreme importance inBrazilian Jiu Jitsu‘s history, not only was he one of the founding members of the multiple world champion teamAlliance, he also coached several important grapplers, such asFernando “Tereré”,Leonardo Leite,Mitsuyoshi Hayakawaamong many others, including his own sonVitor Genovesi. Full Name:Alexandre Paiva Genovesi",False
311,Alexandre Pimentel,Alexandre,Pimentel,Pulga,Nova Geracao,https://www.bjjheroes.com/?p=311,"Alexandre Pimentel, also known as “Pulga” is aBrazilian Jiu Jitsublack belt underFrancisco “Toco”, who also has vast experience in mixed martial Arts (MMA). Pulga was developed under theNova Geracaograppling program in Rio de Janeiro, a curriculum that has brought many big names to the sport’s spotlight, includingRoberto “Cyborg”andAndré Monteiro. Alexandre Pimentel is also regarded as one of the most entertaining grapplers in both MMA and BJJ, with a game heavily reliant on theomoplata. Full Name:Alexandre Concieiro de Albuquerque Maranhão Pimentel.",False
1671,Alexandre Puga,Alexandre,Puga,,Alliance,https://www.bjjheroes.com/?p=1671,"Alexandre Puga is an important figure within theAllianceRio de Janeiro team. A black belt in Brazilian Jiu Jitsu under the illustriousAlexandre Paiva, Puga became one of the main instructors at the Alliance academy in 2002 having helped several high end competition grapplers with their game. Full Name:Alexandre Basbaum Pettezzoni de Puga",False
84,Alexandre Ribeiro,Alexandre,Ribeiro,Xande,Ribeiro JJ,https://www.bjjheroes.com/?p=84,"Alexandre Ribeiro, commonly known as “Xande” Ribeiro is a legendary jiu-jitsu competitor and one of the founding members of the Ribeiro Jiu-Jitsu Association. Under the tutelage of some of the world’s top coaches, includingRoyler Gracie,Vini Aietaand Xande’s own brotherSaulo Ribeiro,Alexandre earned numerous grappling titles, including IBJJF and ADCC World Champion, while earning also the #1 rank in BJJ Heroes’Top BJJ Competitors of All Timelist, up until 2020. Ribeiro also had a short spell fighting in mixed martial arts (MMA) in 2008, competing for the Japanese promotionSengoku. Full Name:Alexandre Couceiro Ribeiro",False
1517,Alexandre Santos,Alexandre,Santos,,Cia Paulista,https://www.bjjheroes.com/?p=1517,"Alexandre “Baiano” dos Santos is a Brazilian Jiu Jitsu black belt under master Neury Gomes, he is also a Pan Pac’s medallist belonging to the famous Cia Paulista team. In 2010 he moved to Australia to help Carlos Vieira run Paulista’s ever growing franchise in the region. Full Name:Alexandre dos Santos",False
8525,Alexandre Vieira,Alexandre,Vieira,,BTT,https://www.bjjheroes.com/?p=8525,"Alexandre Vieira is aBrazilian jiu jitsublack belt underMurilo Bustamante, having also worked extensively with MasterPaulo Maurício Strauchwhile being also one of the top representatives of the BTT academy in the sport’s international circuit. A well-accomplished competitor, Vieira is also known for his unique style of grappling which earned him strong praise by media outlets such as the BJJ Scout and FloGrappling, particularly after his world famous loop choke over Tomoshige Sera at the UAEJJF Abu Dhabi Grand Slam Tour in Tokyo (2017). Full Name:Alexandre de Souza Vieira",False
12569,Alexandria Enriquez,Alexandria,Enriquez,,Atos,https://www.bjjheroes.com/?p=12569,"Alexandria Enriquez, commonly known as Alex Enriquez, is a former folkstyle and freestyle amateur wrestler as well as a jiu-jitsu black belt underBruno Frazatto, who worked extensively under the tutelage of Steve Mitchell. Alex first made a name for herself in the grappling scene while competing in the colored belt divisions of the International Brazilian Jiu-Jitsu Federation (IBJJF) tournament circuit, a time when Enriquez conquered World No-Gi, Pan American No-Gi, and Pan American (Gi) titles. Full Name:Alexandria L. Enriquez",False
